Facebook_news_id (by day),Facebook_avg_popularity (by day)
1,748.0
2,2069.5
3,4223.0
4,257.0
5,1440.0
6,7058.5
7,706.5
8,-13.0
9,602.5
10,5240.5
11,100.5
12,455.5
13,1152.0
14,-5.5
15,4063.5
16,234.0
17,46.0
18,665.0
19,39594.0
20,1194.0
21,105.0
22,89.0
24,6377.0
25,976.5
26,200.0
27,-16.0
28,30.0
29,-10.0
30,517.0
31,-72.0
32,7365.5
33,336.0
34,-19.0
35,3252.5
36,7309.5
37,6529.0
38,599.5
39,132.0
40,-26.5
41,136.5
42,2188.5
43,813.0
44,300.5
45,-2.5
46,500.0
47,255.0
48,388.5
49,229.0
50,-72.0
51,-72.0
52,34.0
53,-20.5
55,-11.5
56,-20.5
57,-72.0
58,3831.0
59,-72.0
60,29.5
61,-72.0
62,228.0
63,246.5
64,5431.5
65,238.0
66,-14.5
67,208.0
68,165.5
71,64.5
73,54.5
74,298.5
75,268.0
76,-72.0
77,2506.5
79,722.0
81,64.0
82,167473.5
83,-31.0
84,519.0
85,12.0
87,4341.5
88,228.0
89,1644.0
90,322.5
91,2329.5
92,983.5
98,89.0
99,-72.0
100,650.0
201,1650.0
202,4860.0
203,277.0
204,-28.0
207,-50.0
208,-31.5
209,-37.0
214,53.0
225,99.0
227,-65.0
232,-48.5
236,-33.0
240,-40.0
241,-37.0
243,-26.0
252,-65.5
272,-50.5
280,-24.5
292,432.0
294,-19.5
396,275.5
403,-72.0
405,-13.5
406,4520.0
409,1158.0
410,41.0
411,9392.5
412,498.0
413,4511.0
417,55.0
431,451.0
433,528.0
434,-1.0
435,76.5
440,6191.0
441,-0.5
442,-2.0
443,180.5
444,38.0
445,72548.0
449,862.5
450,2196.5
451,-24.0
452,937.5
453,8731.5
460,328.0
461,61.0
462,210.5
463,174.0
467,8279.0
471,82.0
472,3994.0
474,192.5
477,359.5
478,44.0
479,221.5
482,269.5
488,-72.0
489,53.5
492,135.0
495,990.0
497,38.5
498,347.5
499,151.5
500,316.0
501,212.0
502,-47.0
503,101.0
504,-5.0
505,427.0
506,-1.0
508,-19.5
512,-1.0
514,998.0
515,-25.0
516,-1.5
517,63.0
520,3316.5
521,702.0
526,2258.0
529,78.5
530,0.0
531,341.0
534,126.5
535,66.0
537,-12.5
538,486.5
539,4383.0
540,18372.0
543,1850.0
549,66.0
550,335.0
551,188.0
552,-0.5
554,203.0
555,-0.5
556,57.5
557,191.5
558,599.5
571,-12.0
576,212.5
577,88.0
578,1511.0
579,139.5
580,141.0
581,968.0
582,3571.0
583,63.0
584,-54.5
585,-12.0
589,1567.0
590,596.0
591,-3.0
592,-4.5
600,6231.0
601,-3.0
602,24630.0
605,790.0
606,191.5
615,2435.5
616,63.0
617,1159.0
618,-0.5
619,-6.0
623,-1.5
626,2284.5
627,846.0
628,5666.5
633,-15.5
638,62.0
639,206.0
640,4992.5
645,-12.0
648,69.0
649,732.5
650,0.0
656,-17.5
657,417.0
658,89.0
659,-0.5
665,863.0
666,884.0
672,441.0
673,69.0
674,0.0
675,7205.0
680,-1.0
681,440.0
682,101.5
687,-18.0
690,2489.0
691,1001.0
696,-12.0
697,-13.5
699,428.5
700,230.0
701,118.0
702,261.0
705,1689.0
706,71.0
707,-6.0
711,795.0
712,-0.5
713,429.0
714,2058.0
715,42.0
716,-72.0
717,-1.5
724,353.5
725,33385.0
733,661.5
734,54.0
740,-0.5
741,216.0
745,-12.0
748,914.5
749,-1.5
750,65.0
751,-72.0
754,-72.0
757,-12.0
767,-1.5
768,166.0
771,130.5
773,0.0
774,8030.5
776,108.5
777,196.0
778,0.0
779,2031.0
783,8594.5
785,107.5
786,798.5
794,185.5
795,253.5
798,44020.5
802,455.0
805,133.5
809,4454.5
811,3591.5
813,59.0
814,2815.5
815,-20.0
817,0.0
818,70.5
820,-1.5
821,0.0
822,160.5
823,5136.0
824,-12.0
825,3744.5
826,3.5
827,1863.5
828,1044.5
831,-1.0
832,15150.0
833,69.5
834,561.5
835,3.0
839,113.5
840,-1.5
841,-3.0
842,-2.5
843,-19.5
844,168.0
847,25.0
848,49710.0
849,8257.5
850,-13.0
851,62.5
852,1971.0
853,1217.0
857,368.5
858,-19.5
859,-0.5
860,467.0
862,3675.5
863,2947.5
864,-0.5
865,67.5
868,7188.0
869,779.5
870,-72.0
871,99.5
872,-1.0
873,62782.5
874,-12.0
875,914.5
876,520.5
877,-6.0
878,577.0
879,-7.5
880,39.0
885,44.0
886,63.0
887,1252.0
889,22805.5
890,2610.0
891,29.5
892,142635.5
893,66.0
897,299.0
898,-11.0
899,-36.5
900,4446.0
901,9270.5
903,200.0
904,-13.5
905,52.0
906,32.0
908,10246.5
909,444.0
911,498.5
912,70.5
913,421.5
916,-13.0
917,39.0
920,8087.5
921,-0.5
922,57.0
924,374.5
925,1653.0
926,305.5
927,117.0
928,39.0
935,63.0
938,1360.0
939,-0.5
940,-1.0
942,59.0
943,1182.5
944,14.0
945,297.5
948,1224.0
949,0.0
950,60.0
958,60.0
959,0.0
960,584.0
961,1111.0
970,63.0
971,862.5
976,-1.0
981,20.5
987,625.5
988,69.0
999,55.0
1000,62.0
1003,-6.0
1004,1943.5
1005,1394.0
1006,70.5
1013,50.0
1022,705.5
1023,1177.5
1024,421.5
1028,-9.0
1029,1798.5
1031,67.0
1038,-12.0
1042,2378.5
1043,-0.5
1046,127.5
1047,94.0
1048,44.0
1055,162.0
1056,186.0
1060,0.0
1061,6942.5
1067,1287.5
1068,28662.5
1075,-12.0
1078,185.5
1079,7435.0
1080,145.5
1081,-5.0
1082,1547.0
1083,1088.5
1084,163.0
1087,12886.5
1088,36.5
1089,139.5
1095,26.5
1096,87583.5
1097,-1.5
1098,188.0
1099,1646.5
1100,0.0
1104,225.0
1111,4471.0
1114,42.0
1115,1194.5
1116,430.5
1121,510.0
1123,-16.5
1124,54.0
1125,221.5
1126,835.5
1127,213.0
1128,99.0
1129,45.0
1139,505.5
1142,-10.5
1144,5531.5
1145,526.5
1146,53.5
1148,4102.0
1151,8589.0
1152,54.0
1153,129.0
1154,1002.5
1155,79130.0
1156,485.0
1157,772.0
1159,327.0
1160,-4.0
1162,3865.0
1164,11027.5
1167,-15.5
1168,1511.5
1169,-7.0
1170,-14.5
1174,-2.0
1175,27.0
1179,1512.0
1180,96.5
1182,1203.5
1184,80.0
1185,-0.5
1186,261.0
1188,-12.0
1189,575.0
1190,-12.0
1194,235.0
1195,69.0
1198,274.5
1201,141.5
1203,42.5
1204,1126.0
1206,42.0
1207,49.0
1210,791.0
1212,4587.5
1213,177.0
1217,73176.0
1223,-1.0
1224,6201.0
1226,329.5
1227,112.0
1228,1760.5
1230,965.0
1231,-9.5
1232,46.5
1233,386.0
1234,-13.5
1235,655.5
1236,499.5
1237,138.0
1238,204.5
1239,-2.5
1241,492.0
1243,2.5
1249,612.5
1251,189.0
1252,121.0
1253,-15.0
1254,46.5
1255,81.0
1256,-14.5
1257,-12.0
1258,-1.0
1260,47.0
1263,69.0
1264,18419.5
1265,102.0
1267,0.0
1268,297.0
1273,4527.0
1274,0.0
1276,-12.0
1280,13.0
1283,-29.0
1284,14.0
1285,14.0
1297,40.5
1298,38.0
1301,378.5
1302,486.5
1303,70.0
1304,106.0
1306,-27.5
1307,-27.5
1309,1286.0
1310,208.0
1312,28461.5
1313,-16.0
1314,151.5
1315,1514.0
1316,43.0
1317,366.0
1320,-26.0
1322,-13.5
1323,5429.0
1327,164.0
1328,6.0
1329,276.0
1331,-25.0
1332,461.0
1333,155.0
1335,3426.0
1336,-13.5
1340,1624.5
1341,36763.5
1346,1363.5
1349,48.0
1350,2566.0
1352,-23.5
1356,546.5
1358,27.0
1359,-22.5
1360,-11.5
1361,-10.0
1362,218.5
1366,529.0
1367,47.0
1368,416.5
1369,-11.0
1370,252.5
1371,-11.0
1372,115.5
1375,6041.0
1376,1501.0
1379,6110.5
1380,-21.0
1381,-21.0
1382,-21.0
1386,221.0
1387,115.5
1388,115.5
1390,1662.5
1395,33818.0
1397,7372.5
1398,325.0
1399,51.5
1400,54.0
1401,243.0
1402,792.0
1403,120.0
1404,1009.5
1405,114.0
1406,41.5
1408,-12.5
1410,1080.5
1411,59.0
1412,183035.5
1413,-72.0
1414,-49.0
1415,-18.5
1416,-18.5
1419,25.0
1420,162.0
1421,-6.5
1422,-6.5
1423,190.0
1424,567.5
1428,11024.0
1431,77.5
1437,-4.5
1438,502.5
1440,-16.5
1442,212.0
1443,2656.0
1447,180.0
1448,-5.0
1449,4560.5
1452,379.5
1453,4451.5
1454,2435.0
1457,329.5
1458,-68.5
1460,1586.0
1461,-1.5
1462,184.0
1464,60.0
1465,644.5
1469,708.5
1470,5223.0
1472,294.0
1473,1083.0
1474,1574.5
1475,59.0
1476,111.0
1477,42.0
1478,-7.5
1481,635.0
1483,2109.5
1484,130.5
1485,1181.0
1488,-13.5
1489,-13.5
1490,-13.5
1494,46.0
1496,50.0
1497,469.5
1498,-9.5
1500,-13.0
1501,530.5
1503,674.5
1504,9.5
1505,30.0
1506,0.0
1508,143.5
1509,27.0
1512,117.0
1513,194178.0
1514,411.0
1515,200.0
1516,1137.5
1518,42.0
1523,150.0
1524,-55.5
1525,-0.5
1526,-1.5
1528,827.5
1529,121.5
1530,-56.5
1532,-12.0
1533,1259.0
1534,-1.5
1535,423.0
1536,33.0
1537,195.0
1541,998.5
1544,69.0
1545,210.5
1546,34.0
1548,-12.5
1549,892.5
1550,421.0
1551,408.0
1553,2623.5
1555,580.5
1557,428.5
1558,116.0
1559,63.0
1560,-1.0
1561,15021.5
1562,73.5
1563,4.5
1564,216.5
1565,48.0
1566,111.0
1567,93.0
1570,393.0
1572,570.5
1574,247.0
1575,175.5
1576,-34.0
1583,49.0
1584,3764.0
1589,4417.5
1590,111.0
1592,854.5
1593,29.0
1594,-21.5
1596,80.0
1598,4361.0
1599,-8.5
1600,1542.5
1601,6191.0
1602,-11.5
1603,291.0
1605,-20.5
1606,82.5
1607,-21.0
1610,-8.0
1612,299.0
1613,82.5
1614,-8.5
1615,84.5
1617,-19.5
1618,28.0
1619,57.0
1620,114.0
1623,452.5
1624,-19.0
1625,-18.5
1626,485.5
1627,613.5
1628,60.0
1629,227.0
1630,36.0
1632,1014.0
1633,178.5
1634,-5.5
1635,-17.0
1636,-17.0
1637,-17.0
1639,-4.5
1641,-16.5
1642,-16.5
1643,-16.5
1645,55.0
1646,608.0
1647,6236.0
1648,-7.0
1649,-19.5
1650,56.0
1651,1735.5
1652,-5.0
1653,-4.0
1655,-15.5
1656,-20.5
1658,1001.0
1659,186.0
1660,1.5
1661,482.5
1662,-4.5
1663,1785.0
1664,153.0
1668,194.0
1669,123.5
1670,-4.0
1671,-3.5
1672,556.0
1673,2883.0
1674,66.0
1678,-14.5
1679,813.5
1680,2170.5
1681,26517.5
1682,4211.0
1683,199.5
1684,-3.5
1685,3892.0
1686,54.0
1687,403.5
1688,438.0
1689,243.0
1690,9092.0
1691,179.0
1692,312.5
1693,-13.0
1694,-13.5
1696,-0.5
1697,2889.5
1698,325.0
1699,3232.0
1703,-3.0
1704,3608.5
1705,1403.0
1706,1366.5
1707,-1.5
1712,59.5
1713,137.5
1714,144.0
1718,-12.0
1719,205.5
1720,-12.0
1721,147.0
1722,473.0
1725,283.0
1726,3402.0
1727,0.0
1729,-12.5
1730,1051.5
1731,-1.5
1732,-0.5
1733,685.0
1737,104.0
1739,-41.0
1740,148.5
1741,295.5
1743,720.0
1746,-63.0
1748,842.5
1749,236.5
1750,38.0
1751,-8.0
1752,150.5
1758,162.0
1759,188.0
1761,-17.0
1763,-5.0
1766,40.0
1768,54.5
1769,-6.5
1770,3870.0
1771,124.5
1772,4361.5
1773,4489.0
1774,192.0
1781,-3.0
1782,1434.5
1783,346.0
1784,1567.0
1785,2128.5
1786,65.0
1787,294.5
1788,1100.0
1789,5035.5
1791,-18.0
1792,-18.0
1796,213.0
1797,1159.0
1799,42.0
1800,279.5
1801,126.0
1802,63.0
1805,229.0
1809,13.0
1813,882.5
1814,7809.5
1819,-20.5
1823,168.0
1826,63.5
1827,2123.5
1828,-3.0
1829,1226.0
1830,636.5
1831,-6.0
1833,90.0
1834,-13.5
1840,36.0
1843,86.5
1844,60.0
1845,-20.5
1849,159.5
1850,126.0
1851,-2.0
1852,494.5
1854,-13.5
1858,602.5
1859,65.0
1862,18679.0
1863,41.0
1867,-21.0
1871,97410.5
1872,122.5
1873,1854.0
1875,258.0
1876,0.0
1877,63.5
1881,-21.0
1882,318.5
1883,-13.0
1884,53.5
1885,457.5
1887,-18.0
1889,2720.0
1891,134.0
1897,149.0
1899,-1.5
1902,5147.0
1903,1404.0
1904,-22.5
1906,-12.0
1908,418.0
1911,-1.0
1912,371.0
1917,-1.0
1920,16.0
1921,59.5
1924,54.0
1927,-66.5
1930,1278.5
1932,-31.0
1933,121.5
1936,-68.0
1938,-71.0
1941,-4.5
1942,-0.5
1944,186.0
1945,5017.5
1946,-13.5
1947,-37.5
1948,-5.0
1951,404.0
1954,352.0
1955,46222.5
1957,230.0
1959,155.5
1960,-48.0
1961,-8.5
1963,-24.0
1964,-24.0
1965,21604.0
1966,48.0
1967,38.5
1968,-3.0
1969,-4.0
1970,-70.5
1972,-21.5
1973,-13.0
1974,-12.5
1962,1380.5
1976,335.0
1977,329.0
1978,62.5
1980,15.5
1981,103.5
1982,1376.5
1983,70.0
1985,643.0
1988,2142.5
1989,-19.5
1990,-53.5
1991,16251.0
1992,117.0
1993,1357.5
1996,139.5
1999,1670.0
2001,0.0
2002,1938.0
2003,49.0
2004,292.5
2005,914.5
2006,-1.0
2008,142.5
2011,313.5
2013,1202.0
2014,1665.5
2015,4133.5
2016,547.5
2017,950.0
2018,38841.5
2019,256.0
2020,529.0
2021,35962.0
2024,-12.0
2025,-9.0
2026,113.5
2027,1535.5
2029,-72.0
2032,396.0
2033,70.0
2035,353.0
2036,346.0
2041,-0.5
2043,-0.5
2044,-62.0
2046,0.0
2049,1536.5
2050,-1.5
2051,548.5
2052,3420.0
2053,435.0
2055,-72.0
2057,599.0
2058,592.5
2061,-72.0
2064,1457.0
2065,90.0
2067,283.0
2068,25670.0
2069,21297.5
2070,8379.5
2071,37348.0
2074,-13.0
2075,424.5
2076,4946.5
2078,2210.0
2079,122.5
2080,212.0
2081,2731.0
2083,186.0
2084,0.0
2086,93.0
2088,6820.5
2089,20002.0
2090,-13.5
2091,-13.5
2092,180.0
2093,59.0
2094,3947.0
2095,-13.5
2096,-13.0
2098,1329.5
2099,1000.0
2100,1037.5
2101,-12.5
2102,0.0
2103,1014.0
2104,427.0
2106,225.0
2108,386.0
2109,1581.5
2112,-0.5
2113,28.0
2116,-12.5
2117,-15.5
2118,197.0
2119,6947.0
2121,-17.5
2122,143.0
2123,8275.5
2124,119.0
2128,2165.5
2129,-14.0
2130,59.5
2131,508.5
2132,3106.5
2134,624.0
2135,4071.5
2138,1511.0
2139,351.5
2140,365.5
2143,251.5
2145,121.5
2146,-12.0
2147,132.0
2148,70.0
2149,-13.0
2151,552.0
2152,-6.0
2153,143.0
2160,-35.5
2162,799.5
2163,-2.0
2164,215.0
2165,53.5
2169,1423.0
2170,108.5
2172,16937.5
2173,4859.0
2174,-21.0
2175,70.5
2179,1264.5
2180,70.0
2181,122.5
2182,1864.5
2186,464.0
2188,289.5
2189,696.0
2190,2505.0
2191,1572.0
2193,0.0
2196,17851.0
2197,354.5
2198,1823.0
2199,202.5
2202,-18.0
2203,-12.0
2204,2339.0
2205,2473.5
2206,-12.0
2207,308.0
2208,54.0
2209,0.0
2210,5449.5
2211,21254.0
2212,0.0
2214,48.0
2215,-12.0
2217,65.5
2220,-24.0
2221,261.0
2222,-22.5
2223,212.0
2229,32055.5
2230,4617.5
2232,-12.0
2233,45.0
2234,157.0
2235,762.5
2239,26487.0
2240,71.0
2241,205.5
2243,-12.0
2244,970.5
2252,739.5
2253,-1.0
2256,-12.0
2259,1567.5
2261,5456.0
2262,2228.0
2267,1737.0
2268,186.5
2269,-1.5
2270,-4.5
2274,492.0
2275,2321.5
2278,335.0
2279,9608.5
2282,345.0
2283,971.0
2284,39.0
2285,63.5
2286,764.0
2287,135.0
2290,60.0
2294,252.5
2300,65.0
2301,-0.5
2302,208.0
2303,1593.0
2307,186.5
2310,322.0
2315,1600.5
2319,1295.0
2320,898.5
2321,13969.0
2324,-12.5
2325,2900.5
2326,586.0
2327,1220.5
2328,-3.0
2331,995.0
2333,1738.5
2334,63.5
2338,232.5
2340,673.5
2341,-1.0
2343,800.5
2344,2905.5
2345,21.0
2346,360.0
2350,-13.0
2352,11779.0
2353,69.0
2356,24.5
2357,237.5
2358,121.5
2359,158.0
2363,983.5
2364,118.0
2366,54.0
2371,727.5
2373,3301.5
2374,258.0
2375,353.0
2387,-1.0
2388,-2.0
2390,-13.0
2392,276.5
2393,2265.0
2377,627.0
2378,7422.5
2379,1971.5
2384,801.5
2385,4085.0
2386,328.0
2395,117.0
2396,210.0
2399,46.0
2400,109.5
2402,69.0
2404,1163.5
2405,129.5
2410,127.5
2411,3826.0
2412,611.5
2413,922.5
2418,852.0
2419,196.0
2421,765.5
2422,365.5
2427,779.0
2428,163.0
2429,1033.5
2432,368.5
2433,-13.5
2434,190.5
2435,768.5
2436,-10.5
2439,11.5
2440,2903.0
2441,-1.0
2442,274.5
2449,658.5
2450,2282.5
2453,2020.5
2454,53.0
2455,-0.5
2459,-12.5
2460,-12.5
2461,25419.0
2462,71.0
2465,3196.5
2466,132.5
2469,-15.0
2470,183.0
2471,243.0
2472,-3.0
2473,-8.0
2477,277.0
2478,22.0
2479,67.0
2480,-13.5
2481,-13.0
2482,-13.0
2484,1992.5
2485,495.0
2488,-12.0
2489,1078.5
2493,8948.0
2494,337.5
2496,120.0
2497,0.0
2498,-6.0
2499,11637.5
2500,111.5
2504,-0.5
2506,-19.0
2507,-17.0
2508,49.0
2509,31.0
2510,568.0
2514,-12.0
2515,-12.0
2516,62.0
2519,72.0
2520,674.5
2521,121.5
2523,495.5
2524,-28.5
2525,1159.5
2526,148.5
2533,1959.5
2534,120.5
2535,-6.5
2536,258.0
2538,13578.0
2539,-7.5
2540,28.0
2542,210.0
2547,41.0
2548,1054.0
2549,133.5
2550,138.0
2551,171.0
2554,100.5
2556,3394.5
2558,113.0
2559,2196.5
2561,-13.5
2562,538.0
2563,-2.5
2564,-16.5
2567,130.5
2569,871.0
2570,-1.5
2575,316.0
2576,3545.5
2577,-2.0
2578,4957.5
2579,-25.0
2581,24.0
2582,-1.0
2586,127.5
2587,82.0
2588,433.5
2589,45.0
2591,443.0
2596,627.0
2597,712.0
2600,232.0
2601,149.0
2605,-1.0
2606,99.5
2607,70.0
2608,93.5
2609,30.0
2610,-31.5
2611,-26.0
2612,1230.5
2613,-15.0
2614,163.0
2615,-27.0
2618,1448.5
2620,3594.5
2623,3882.0
2624,-21.5
2625,-1.5
2630,2273.5
2631,131.0
2632,561.5
2633,1393.5
2635,1666.0
2636,51.0
2637,1801.0
2638,7003.0
2639,-0.5
2641,27562.0
2642,-2.0
2643,154.0
2644,1035.5
2649,-12.5
2651,163.0
2652,-0.5
2653,202.0
2655,-12.0
2658,-1.0
2661,-13.0
2662,510.5
2663,196.5
2666,8745.5
2667,969.5
2668,626.5
2669,503.5
2670,8285.0
2671,70.5
2673,-15.0
2675,357.0
2676,-3.0
2677,66.0
2678,63.0
2682,57.0
2683,1039.5
2684,-1.5
2685,198.0
2686,214.0
2687,388.0
2688,-1.5
2689,140.0
2697,2446.0
2699,94.0
2700,-4.5
2702,189.0
2703,-1.0
2704,582.0
2705,231.5
2709,-70.0
2710,-0.5
2711,-18.0
2714,236.5
2715,274.5
2716,1036.5
2721,137.0
2722,929.0
2724,304.0
2725,949.0
2726,261.0
2727,859.5
2730,-0.5
2731,195.0
2738,-12.0
2739,-1.0
2741,-2.5
2746,3521.0
2747,259.0
2749,93.0
2750,-2.5
2752,135.0
2754,9959.0
2755,3046.5
2756,885.0
2757,57.5
2758,990.5
2759,117.5
2760,-4.5
2764,728.5
2766,-55.5
2767,4275.5
2768,95.0
2769,-1.5
2771,36.0
2772,339.0
2775,268.0
2776,270.5
2777,64.5
2778,336.0
2779,-4.5
2781,359.5
2782,2242.0
2783,53.0
2785,131.5
2788,-2.5
2789,118.5
2790,330.5
2791,235.0
2792,57.0
2793,-2.0
2794,-6.5
2795,60.0
2796,419.5
2798,-13.0
2799,12000.0
2800,66.0
2801,75.5
2802,380.5
2803,833.0
2804,716.5
2805,-10.0
2808,70.0
2810,71.0
2811,1224.5
2812,429.0
2813,220.0
2814,1807.0
2815,-1.0
2816,-2.0
2817,238.0
2818,236.5
2819,1407.0
2820,296.0
2821,207.5
2822,25.5
2823,-20.5
2829,1029.0
2830,-13.0
2831,-70.0
2832,2072.0
2834,-12.5
2835,87.0
2836,1371.5
2837,970.0
2838,617.0
2839,72.0
2840,-0.5
2841,467.0
2842,85.0
2844,3610.0
2845,737.0
2846,138.0
2849,61.5
2850,205.0
2851,177.5
2852,-1.5
2853,-7.5
2854,389.0
2855,802.5
2856,133.0
2858,1530.5
2859,67.5
2860,0.0
2862,58.5
2863,136.0
2864,0.0
2865,2075.0
2866,7546.0
2868,-0.5
2869,69.0
2870,32.5
2872,-20.0
2873,1613.5
2877,-3.0
2878,70.0
2879,2686.5
2882,-0.5
2883,69.0
2884,88.5
2887,5979.0
2890,139.5
2891,0.0
2892,-59.5
2893,396.0
2898,3298.0
2905,312.5
2906,63.0
2907,149.0
2909,50.0
2908,426.0
2919,-12.5
2922,-14.0
2923,1135.5
2928,399.5
2932,565.0
2933,17812.0
2934,824.5
2938,139.0
2939,1831.0
2942,528.0
2945,-72.0
2947,210.0
2949,68.0
2950,6389.0
2951,54.0
2954,-14.0
2960,606.0
2961,3467.5
2965,-13.0
2966,3409.0
2971,646.5
2973,-23.0
2974,-19.5
2975,-72.0
2979,100.5
2983,174.0
2984,453.5
2985,40.0
2986,17943.0
2987,-11.0
2990,357.0
2991,-12.0
2993,-32.0
2994,935.0
2995,-26.5
2997,-20.5
2998,-12.0
3003,117.0
3010,138.5
3011,151.0
3012,-7.0
3014,-19.0
3017,301.5
3019,7336.5
3020,1034.5
3023,-23.0
3024,-5.0
3027,258.0
3028,3778.0
3029,62.0
3030,658.5
3032,3440.5
3033,-16.0
