Facebook_news_id (by hour),Facebook_avg_popularity (by hour)
1,31.166666666666668
2,86.22916666666667
3,175.95833333333334
4,10.708333333333334
5,60.0
6,294.1041666666667
7,29.4375
8,-0.5416666666666666
9,25.104166666666668
10,218.35416666666666
11,4.1875
12,18.979166666666668
13,48.0
14,-0.22916666666666666
15,169.3125
16,9.75
17,1.9166666666666667
18,27.708333333333332
19,1649.75
20,49.75
21,4.375
22,3.7083333333333335
24,265.7083333333333
25,40.6875
26,8.333333333333334
27,-0.6666666666666666
28,1.25
29,-0.4166666666666667
30,21.541666666666668
31,-3.0
32,306.8958333333333
33,14.0
34,-0.7916666666666666
35,135.52083333333334
36,304.5625
37,272.0416666666667
38,24.979166666666668
39,5.5
40,-1.1041666666666667
41,5.6875
42,91.1875
43,33.875
44,12.520833333333334
45,-0.10416666666666667
46,20.833333333333332
47,10.625
48,16.1875
49,9.541666666666666
50,-3.0
51,-3.0
52,1.4166666666666667
53,-0.8541666666666666
55,-0.4791666666666667
56,-0.8541666666666666
57,-3.0
58,159.625
59,-3.0
60,1.2291666666666667
61,-3.0
62,9.5
63,10.270833333333334
64,226.3125
65,9.916666666666666
66,-0.6041666666666666
67,8.666666666666666
68,6.895833333333333
71,2.6875
73,2.2708333333333335
74,12.4375
75,11.166666666666666
76,-3.0
77,104.4375
79,30.083333333333332
81,2.6666666666666665
82,6978.0625
83,-1.2916666666666667
84,21.625
85,0.5
87,180.89583333333334
88,9.5
89,68.5
90,13.4375
91,97.0625
92,40.979166666666664
98,3.7083333333333335
99,-3.0
100,27.083333333333332
201,68.75
202,202.5
203,11.541666666666666
204,-1.1666666666666667
207,-2.0833333333333335
208,-1.3125
209,-1.5416666666666667
214,2.2083333333333335
225,4.125
227,-2.7083333333333335
232,-2.0208333333333335
236,-1.375
240,-1.6666666666666667
241,-1.5416666666666667
243,-1.0833333333333333
252,-2.7291666666666665
272,-2.1041666666666665
280,-1.0208333333333333
292,18.0
294,-0.8125
396,11.479166666666666
403,-3.0
405,-0.5625
406,188.33333333333334
409,48.25
410,1.7083333333333333
411,391.3541666666667
412,20.75
413,187.95833333333334
417,2.2916666666666665
431,18.791666666666668
433,22.0
434,-0.041666666666666664
435,3.1875
440,257.9583333333333
441,-0.020833333333333332
442,-0.08333333333333333
