GooglePlus_news_id (by day),GooglePlus_avg_popularity (by day)
1,26.0
2,-3.0
3,1094.5
4,3.5
5,-22.5
6,2626.5
7,-1.5
8,-12.0
9,36.0
10,84.0
11,-13.5
12,127.5
13,36.0
14,-4.5
15,33.0
16,68.0
17,-12.0
18,51.0
19,101.5
20,130.5
21,-12.0
22,-10.5
24,1355.0
25,208.0
26,-7.5
27,-15.0
28,-37.0
29,-9.0
30,-25.5
31,-72.0
32,49.0
33,-37.0
34,-18.0
35,1086.0
36,62.5
37,723.5
38,192.0
39,-37.0
40,-25.5
41,303.5
42,143.0
43,-27.0
44,-24.0
45,-1.5
46,-25.5
47,-16.5
48,-3.0
49,-6.0
50,-72.0
51,-72.0
52,-18.0
53,-19.5
55,-10.5
56,33.0
57,-72.0
58,81.5
59,-72.0
60,-1.5
61,-72.0
62,-21.0
63,21.0
64,196.5
65,-9.0
66,-13.5
67,-1.0
68,239.0
71,-25.5
73,-4.5
74,-2.0
75,-37.0
76,-72.0
77,456.0
79,-1.5
81,-2.0
82,279.0
83,-30.0
84,44.5
85,-18.0
87,103.0
88,-21.0
89,18.0
90,33.0
91,90.5
92,333.5
98,-10.5
99,-72.0
100,6.0
201,-42.0
202,-31.5
203,-59.0
204,-27.0
207,-60.0
208,-30.5
209,-53.5
214,45.5
225,-23.5
227,-64.0
232,-47.5
236,-32.5
240,-39.0
241,-36.0
243,-25.0
252,-64.5
272,-49.5
280,-23.5
292,-15.0
294,-53.5
396,-1.5
403,-72.0
405,-13.5
406,-0.5
409,210.5
410,-13.5
411,159.0
412,-0.5
413,-1.0
417,-3.0
431,-1.0
433,-31.5
434,-0.5
435,-16.5
440,117.0
441,0.0
442,-1.5
443,-21.0
444,-16.5
445,167.5
449,-41.5
450,45.0
451,-24.0
452,-22.5
453,518.0
460,-0.5
461,-1.0
462,73.5
463,-1.5
467,372.5
471,-12.0
472,493.5
474,-0.5
477,0.0
478,-12.0
479,-1.5
482,-3.0
488,-72.0
489,-2.0
492,-1.0
495,-13.0
497,-13.5
498,335.5
499,28.0
500,-1.5
501,0.0
502,-46.0
503,-3.0
504,-4.5
505,91.5
506,-0.5
508,-19.5
512,-1.0
514,0.0
515,-24.0
516,-0.5
517,-1.0
520,342.0
521,126.0
526,161.5
529,-0.5
530,0.0
531,0.0
534,-0.5
535,-1.5
537,-12.5
538,-12.5
539,129.5
540,3389.5
543,105.0
