LinkedIn_news_id (by day),LinkedIn_avg_popularity (by day)
1,105.5
2,-3.0
3,-22.5
4,483.0
5,-22.5
6,4992.5
7,-1.5
8,-12.0
9,545.0
10,918.5
11,453.0
12,1107.0
13,485.5
14,-4.5
15,1720.0
16,173.0
17,-12.0
18,210.5
19,286.0
20,2110.0
21,-12.0
22,-10.5
24,3240.0
25,26.0
26,98.5
27,-15.0
28,68.0
29,-9.0
30,21.0
31,-72.0
32,-10.5
33,103.0
34,36.0
35,2871.5
36,387.0
37,-1.5
38,2263.0
39,103.0
40,570.5
41,-1.5
42,1690.5
43,-27.0
44,-24.0
45,-1.5
46,21.0
47,-16.5
48,2459.5
49,2550.0
50,-72.0
51,-72.0
52,-18.0
53,-19.5
55,-10.5
56,-19.5
57,-72.0
58,5.5
59,-72.0
60,-1.5
61,-72.0
62,-21.0
63,-25.5
64,3451.0
65,-9.0
66,-13.5
67,-1.0
68,948.5
71,-25.5
73,-4.5
74,924.0
75,-37.0
76,-72.0
77,1660.5
79,52.5
81,-37.0
82,-13.5
83,-30.0
84,1326.5
85,360.5
87,-2.0
88,720.0
89,63.0
90,994.5
91,89.5
92,3507.5
98,123.0
99,-72.0
100,-33.0
201,800.5
202,-31.5
203,-59.0
204,-27.0
207,-60.0
208,-30.5
209,-53.5
214,2119.5
225,-23.5
227,-64.0
232,-47.5
236,-32.5
240,-39.0
241,-36.0
243,-25.0
252,-64.5
272,-49.5
280,-23.5
292,350.5
294,2.0
396,69.0
403,-72.0
405,53.5
406,-0.5
409,455.5
410,-13.5
411,77.5
412,73.5
413,-1.0
417,-3.0
431,-1.0
433,-31.5
434,-0.5
435,-16.5
440,-9.0
441,0.0
442,-1.5
443,-21.0
444,2272.0
445,1270.0
449,444.5
450,-33.0
451,-24.0
452,126.0
453,95.0
460,-0.5
461,-1.0
462,588.5
463,-1.5
467,5414.5
471,359.0
472,3841.0
474,-0.5
477,0.0
478,-12.0
479,-1.5
482,66.0
488,-72.0
489,-2.0
492,-1.0
495,4741.0
497,-13.5
498,-12.5
499,1089.0
500,-1.5
501,0.0
502,-46.0
503,-3.0
504,-4.5
505,1695.0
506,-0.5
508,-19.5
512,-1.0
514,0.0
515,-24.0
516,-0.5
517,-1.0
520,1366.5
521,-50.0
526,603.5
529,-0.5
530,0.0
531,0.0
534,-0.5
535,898.0
537,-12.5
538,-12.5
539,3556.0
540,4181.0
543,-13.0
549,-3.0
550,-1.0
551,539.0
552,-0.5
554,0.0
555,-0.5
556,-53.5
557,-4.5
558,1002.0
571,-12.0
576,-3.0
577,408.5
578,289.0
579,-1.5
580,-1.0
581,370.0
582,938.5
583,-4.5
584,-54.5
585,-12.0
589,489.0
590,715.0
591,-3.0
592,-4.5
600,-1.5
601,-3.0
602,-3.0
605,62.0
606,192.0
615,-1.0
616,-4.5
617,114.0
618,4215.0
619,-6.0
623,-1.5
626,1565.5
627,927.0
628,21589.5
633,-15.5
638,0.0
639,-0.5
640,331.5
645,-12.0
648,-1.5
649,147.5
650,0.0
656,-17.5
657,-18.0
658,28.0
659,-0.5
665,183.0
666,348.0
672,-1.5
673,-1.5
674,0.0
675,4315.0
680,-1.0
681,3003.0
682,0.0
687,-18.0
690,558.5
691,431.0
696,-12.0
697,-13.5
699,225.5
700,94.0
701,298.5
702,0.0
705,176.0
706,2.0
707,-6.0
711,0.0
712,-0.5
713,55.5
714,7746.5
715,4.0
716,-72.0
717,-1.5
724,-1.0
725,602.0
733,-1.0
734,-9.0
740,-0.5
741,0.0
745,-12.0
748,281.5
749,-1.5
750,1373.0
751,-72.0
754,-72.0
757,-12.0
767,-1.5
768,482.5
771,-4.5
773,0.0
774,502.5
776,692.5
777,22.0
778,5.0
779,-3.0
783,1155.5
785,-1.5
786,413.5
794,-1.0
795,-3.0
798,4629.0
802,410.5
805,-3.0
809,-7.5
811,30562.5
813,-1.5
814,48.0
815,-19.5
817,0.0
818,0.0
820,-1.5
821,0.0
822,717.5
823,-3.0
824,-12.0
825,184.5
826,0.0
827,1230.5
828,4853.5
831,69.0
832,2897.5
833,0.0
834,68.0
835,0.0
839,-13.5
840,0.0
841,-1.5
842,-1.0
843,-18.0
844,919.5
847,-22.5
848,19099.5
849,1088.5
850,-12.0
851,-12.0
852,213.0
853,675.0
857,67.0
858,-19.5
859,-0.5
860,-4.5
862,351.0
863,273.0
864,-0.5
865,253.5
868,205.5
869,0.0
870,-72.0
871,47.0
872,-1.0
873,216.0
874,-12.0
875,-1.5
876,688.5
877,-6.0
878,-0.5
879,57.0
880,-3.0
885,-12.0
886,-1.0
887,0.0
889,2773.5
890,2030.5
891,-14.5
892,-4.5
893,-1.5
897,627.0
898,-9.0
899,-34.5
900,-1.5
901,557.0
903,-12.0
904,-12.0
905,-9.0
906,-6.0
908,1311.0
909,-1.0
911,406.5
912,170.5
913,-1.5
916,-13.0
917,-16.5
920,-1.5
921,-0.5
922,-7.5
924,89.5
925,524.0
926,-1.5
927,-9.0
928,180.5
935,63.0
